"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"208","METAL GEAR SOLID V: THE PHANTOM PAIN","1,339,000","1,407,000","68,000","5.08%","$19.99","50% ($9.99)","88% (91%)"
"209","Killer is Dead - Nightmare Edition","1,353,000","1,398,000","45,000","3.33%","$19.99","75% ($4.99)","76% (N/A)"
"210","Transistor","1,161,000","1,397,000","236,000","20.33%","$19.99","80% ($3.99)","94% (83%)"
"211","Dead Bits","1,043,000","1,394,000","351,000","33.65%","$0.99","51% ($0.49)","59% (N/A)"
"212","Civilization IV: Warlords","1,335,000","1,377,000","42,000","3.15%","$4.99","75% ($1.24)","87% (84%)"
"213","Darksiders II Deathinitive Edition","992,000","1,375,000","383,000","38.61%","$29.99","85% ($4.49)","74% (N/A)"
"214","Torchlight","968,000","1,370,000","402,000","41.53%","$14.99","80% ($2.99)","92% (83%)"
"215","Rogue Legacy","1,295,000","1,357,000","62,000","4.79%","$14.99","80% ($2.99)","93% (85%)"
"216","Sleeping Dogs: Definitive Edition","1,161,000","1,346,000","185,000","15.93%","$29.99","85% ($4.49)","88% (N/A)"
"217","AudioSurf","995,000","1,345,000","350,000","35.18%","$9.99","75% ($2.49)","95% (85%)"
"218","Elite Dangerous","1,175,000","1,344,000","169,000","14.38%","$29.99","76% ($7.19)","68% (80%)"
"219","Tropico 3","959,000","1,341,000","382,000","39.83%","$9.99","80% ($1.99)","90% (79%)"
"220","Civilization IV: Beyond the Sword","1,112,000","1,340,000","228,000","20.5%","$9.99","75% ($2.49)","96% (86%)"
"221","Mortal Kombat X","1,175,000","1,330,000","155,000","13.19%","$19.99","66% ($6.79)","76% (76%)"
"222","Sins of a Solar Empire: Rebellion","949,000","1,328,000","379,000","39.94%","$39.99","75% ($9.99)","92% (82%)"
"223","Resident Evil 6 / Biohazard 6","1,119,000","1,314,000","195,000","17.43%","$29.99","75% ($7.49)","78% (69%)"
"224","Hero Siege","1,242,000","1,302,000","60,000","4.83%","$5.99","90% ($0.59)","79% (N/A)"
"225","Endless Space - Collection","692,000","1,300,000","608,000","87.86%","$19.99","90% ($1.99)","80% (77%)"
"226","Hotline Miami 2: Wrong Number","1,100,000","1,288,000","188,000","17.09%","$14.99","75% ($3.74)","91% (N/A)"
"227","Grim Dawn","1,120,000","1,263,000","143,000","12.77%","$24.99","75% ($6.24)","91% (83%)"
"228","STAR WARS - Dark Forces","1,206,000","1,257,000","51,000","4.23%","$5.99","66% ($2.03)","90% (N/A)"
"229","Black Desert Online","1,090,000","1,249,000","159,000","14.59%","$9.99","50% ($4.99)","65% (73%)"
"230","Middle-earth: Shadow of War","996,000","1,243,000","247,000","24.8%","$49.99","66% ($16.99)","77% (N/A)"
"231","Alien: Isolation","1,140,000","1,241,000","101,000","8.86%","$39.99","75% ($9.99)","91% (81%)"
"232","DmC: Devil May Cry","1,183,000","1,231,000","48,000","4.06%","$29.99","75% ($7.49)","94% (85%)"
"233","Viking: Battle for Asgard","931,000","1,224,000","293,000","31.47%","$14.99","90% ($1.49)","52% (N/A)"
"234","Risen 2: Dark Waters","1,184,000","1,214,000","30,000","2.53%","$9.99","66% ($3.39)","76% (69%)"
"235","中国式家长 / Chinese Parents","1,000","1,213,000","1,212,000","121200%","$9.99","22% ($7.79)","88% (N/A)"
"236","SimCity 4 Deluxe Edition","1,098,000","1,211,000","113,000","10.29%","$19.99","75% ($4.99)","75% (N/A)"
